image,caption
00000.png,"'The image displays an Indian passport with the following details: Type ""P"" for Personal, Country Code ""IND"" for India, Passport No. ""H9137927"". The surname of the passport holder is Alam and the given name is Maqsood. The nationality is listed as Indian. The gender (Sex) of the holder is ""M"" for male. The date of birth is presented as 14/08/1973. The place of birth is Muzaffarpur, Bihar. The issuing authority is in Delhi, with the passport issued on 18/02/2010 and an expiry date of 17/02/2020.'"
00001.png,"""The image provided is of an Indian passport with the following details: The type of passport is 'P' for a personal passport. The country code 'IND' signifies India. The passport number is J2452409. The surname of the passport holder is Kaushal, and the given name is Sukhdeep. The nationality is Indian. The holder's sex is female, indicated by 'F'. The date of birth is 20/10/1991. The place of birth is Gailb Kalan. The passport was issued in Chandigarh on 31/08/2010, with an expiration date of 30/08/2020."","
00002.png,"""The image is of an Indian passport with the following information: The passport type is 'P', representing a personal passport. The country code 'IND' stands for India. The passport number is R7123405. The surname of the passport holder is not visible, and the given names are Maqdooma Fathima. The nationality is Indian. The sex of the holder is female, denoted by 'F'. The date of birth is 23/06/1981. The place of birth is Chennai, Tamil Nadu. This passport was issued in Bengaluru on 15/12/2017, with an expiration date of 14/12/2027."","
00003.png,"""The image is of an Indian passport with the following details: The type of the passport is 'P', which stands for a personal passport. The country code 'IND' indicates India. The passport number is Z4676026. The surname of the passport holder is not visible, and the given name is Irfan. The nationality mentioned is Indian. The holder's sex is male, indicated by 'M'. The date of birth is 31/03/1980. The place of birth is Bengaluru, Karnataka. This passport was issued in Bengaluru on 20/12/2017, and the expiration date is 19/12/2027."","
00004.png,"""The image provided shows an Indian passport with the following details: The passport type is 'P', for a personal passport. The country code 'IND' indicates India. The passport number is H6413091. The surname of the passport holder is Nagoor Gani, and the given name is Syed Musthafa. The nationality is Indian. The holder's sex is male, denoted by 'M'. The date of birth is 02/04/1987. The place of birth is Trichy, which is a short form for Tiruchirappalli. The passport was issued on 08/09/2009 and the expiration date is 07/09/2019."","
00005.png,"""The image is of an Indian passport with the following details: The type of passport is 'P' for a personal passport. The country code 'IND' represents India. The passport number is J1440791. The surname of the holder is Kahlon, and the given name is Gurvir Singh. The nationality is Indian. The holder's sex is male, denoted by 'M'. The date of birth is 19/07/1990. The place of birth is Machhiwara. The passport was issued in Chandigarh on 22/07/2010, and the expiration date is 21/07/2020."","
00006.png,"""The image displays an Indian passport with the following information: The type is 'P', indicating it's a personal passport. The country code 'IND' stands for India. The passport number is G7321732. The surname of the holder is Jhajj, and the given name is Daljeet Singh. The nationality is Indian. The holder's sex is male, marked as 'M'. The date of birth is 01/01/1989. The place of birth is Ludhiana. The passport was issued in Chandigarh on 01/02/2008 and the expiration date was 31/01/2018. The Machine Readable Zone (MRZ) at the bottom contains important encoded details including the passport number, nationality, date of birth, sex, and expiration date, formatted for electronic scanners. The passport includes the photograph and signature of Mr. Daljeet Singh Jhajj, which are used for identity verification purposes."","
00007.png,"""The image shows an Indian passport with the following details: The passport type is 'P', which indicates a personal passport. The country code 'IND' signifies India. The passport number is N2588358. The surname of the passport holder is Gilhotra, and the given name is Antriksh. The nationality is Indian. The holder's sex is male, indicated by 'M'. The date of birth is 04/12/1990. The place of birth is Fazilka, Punjab. The passport was issued in Amritsar on 01/09/2015, with an expiration date of 31/08/2025. The Machine Readable Zone (MRZ) at the bottom includes the passport number, nationality, date of birth, sex, and expiration date, all encoded for electronic scanning. The passport includes the photograph and signature of Mr. Antriksh Gilhotra, which are essential for identification."""
00008.png,"""The image displays an Indian passport with the following information: The passport type is 'P', denoting a personal passport. The country code 'IND' stands for India. The passport number is M9104700. The surname of the passport holder is Sandhu, and the given name is Gagandeep Singh. The nationality is Indian. The holder's sex is male, represented by 'M'. The date of birth is 01/02/1997. The place of birth is Gangohar, Punjab. The passport was issued in Chandigarh on 22/05/2015, with an expiration date of 21/05/2025."","
00009.png,"""The image provided is of an Indian passport with the following details: The type of passport is 'P', signifying it is a personal passport. The country code 'IND' is for India. The passport number is L8001016. The surname of the passport holder is not visible, and the given name is Talwinder Singh. The nationality is Indian. The holder's sex is male, indicated by 'M'. The date of birth is 19/06/1994. The place of birth is Bairi Kadrabad, Ferozepur, Punjab. The passport was issued in Amritsar on 24/03/2014 and has an expiration date of 23/03/2024."","
